               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11413,            0.041531,            0.040268,           0.0016962,             0.12315,           0.0016199,          0.00045827,             0.11918,            0.032326,            0.037125,              0.0964,              0.0004,              0.0004
                   1,             0.11091,            0.046035,            0.039006,           0.0016114,             0.13222,           0.0029587,          0.00084507,             0.11642,            0.031517,            0.038754,            0.091897,          0.00089703,          0.00089703
                   2,             0.10861,            0.037623,            0.036752,           0.0015609,               0.095,           0.0016715,          0.00046569,             0.11429,            0.028763,            0.036465,            0.087391,           0.0013908,           0.0013908
                   3,             0.10204,            0.046134,            0.034051,           0.0017614,             0.10833,           0.0014065,          0.00031831,             0.11379,            0.027428,              0.0336,            0.082881,           0.0018812,           0.0018812
                   4,             0.10078,            0.042929,             0.03256,           0.0022819,             0.23778,           0.0029848,          0.00087185,             0.11119,            0.027584,            0.032437,            0.078368,           0.0023683,           0.0023683
                   5,            0.096593,            0.036211,            0.031515,           0.0026566,             0.28833,           0.0036972,           0.0010152,             0.11168,            0.026852,            0.031311,            0.073852,           0.0028522,           0.0028522
                   6,            0.094252,            0.038477,            0.030455,           0.0029651,             0.33444,            0.010679,            0.002138,             0.10978,            0.026848,            0.029384,            0.069333,           0.0033327,           0.0033327
                   7,            0.090034,            0.039535,            0.027741,           0.0072586,             0.28389,            0.042006,            0.012835,             0.10887,            0.027241,            0.028139,             0.06481,           0.0038099,           0.0038099
                   8,            0.089878,            0.039863,            0.028315,            0.015039,            0.031111,            0.021313,            0.009083,             0.10451,            0.029079,            0.025584,            0.060284,           0.0042838,           0.0042838
                   9,            0.083905,             0.04281,            0.024722,            0.078875,             0.21111,             0.07625,             0.02548,             0.10355,            0.029343,             0.02606,            0.055754,           0.0047545,           0.0047545
                  10,            0.080601,            0.048031,            0.022449,             0.36185,            0.035556,            0.030561,            0.014448,              0.1009,            0.031231,            0.024184,            0.051222,           0.0052218,           0.0052218
                  11,            0.080295,            0.043024,            0.022162,             0.34459,            0.031111,            0.024129,            0.011415,            0.099598,            0.032715,            0.022202,            0.046686,           0.0056858,           0.0056858
