               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11541,            0.038563,            0.040972,           0.0012168,             0.15341,           0.0015775,          0.00050482,             0.11236,            0.026638,            0.041391,              0.0964,              0.0004,              0.0004
                   1,             0.11009,            0.035307,            0.040023,           0.0024956,             0.29848,            0.010149,           0.0024121,              0.1061,            0.023129,            0.040622,            0.091897,          0.00089703,          0.00089703
                   2,             0.10605,            0.034471,            0.039069,           0.0031149,             0.37992,             0.01984,           0.0034171,             0.10663,            0.020794,            0.040155,            0.087391,           0.0013908,           0.0013908
                   3,            0.094541,            0.031895,            0.040206,           0.0032649,             0.40379,            0.010813,           0.0024849,             0.10291,            0.020691,            0.039999,            0.082881,           0.0018812,           0.0018812
                   4,            0.093859,            0.034426,             0.03758,           0.0034832,             0.43409,           0.0087063,            0.002607,            0.098854,            0.020199,            0.039001,            0.078368,           0.0023683,           0.0023683
                   5,            0.090721,             0.03275,            0.036513,            0.003181,             0.40341,            0.012849,           0.0034469,            0.097356,            0.019691,            0.038379,            0.073852,           0.0028522,           0.0028522
                   6,            0.087784,            0.033219,            0.036768,           0.0036315,             0.38826,            0.082205,            0.026939,            0.095114,            0.019247,            0.037949,            0.069333,           0.0033327,           0.0033327
                   7,            0.079124,            0.030453,            0.029971,           0.0027453,             0.35227,           0.0085561,           0.0021739,            0.095652,            0.018402,             0.03804,             0.06481,           0.0038099,           0.0038099
                   8,            0.080309,            0.032407,            0.031173,            0.002743,             0.35227,           0.0056487,           0.0014603,            0.097229,            0.017708,             0.03858,            0.060284,           0.0042838,           0.0042838
                   9,            0.076534,            0.030428,            0.033099,            0.018567,             0.10227,            0.021022,           0.0074136,             0.09454,            0.017807,            0.038699,            0.055754,           0.0047545,           0.0047545
                  10,            0.072198,             0.03092,            0.028151,             0.62425,            0.051136,            0.037098,           0.0097775,            0.093718,            0.017778,            0.037866,            0.051222,           0.0052218,           0.0052218
                  11,            0.074935,             0.03098,            0.028083,             0.47957,            0.081439,            0.059076,            0.022815,            0.090216,            0.018436,            0.036099,            0.046686,           0.0056858,           0.0056858
                  12,            0.073556,            0.032142,            0.027447,             0.41392,            0.096591,            0.060423,            0.019693,            0.090599,            0.018446,            0.034387,            0.042147,           0.0061466,           0.0061466
                  13,            0.076334,            0.028812,            0.027364,             0.47445,             0.14205,            0.079801,            0.032375,            0.088677,            0.018461,            0.032803,            0.037604,            0.006604,            0.006604
                  14,            0.070321,            0.026491,            0.028713,             0.73829,             0.10606,            0.076661,            0.032252,            0.088397,             0.01812,            0.033014,            0.033058,           0.0070581,           0.0070581
                  15,            0.074284,            0.030458,             0.02648,             0.49397,             0.17235,             0.10118,            0.036087,             0.08788,            0.018097,            0.033362,            0.028509,           0.0075089,           0.0075089
                  16,            0.063933,            0.025619,             0.02612,             0.50281,             0.15689,             0.15026,            0.075535,            0.088715,             0.01758,            0.034387,            0.023956,           0.0079565,           0.0079565
                  17,            0.071611,            0.029195,            0.026093,             0.53432,             0.14189,             0.14035,            0.051245,            0.090087,             0.01759,            0.033939,            0.019401,           0.0084007,           0.0084007
                  18,            0.069361,            0.029814,            0.026959,             0.87033,             0.13636,             0.16266,            0.069612,            0.090605,            0.017349,            0.034735,            0.014842,           0.0088416,           0.0088416
                  19,            0.065253,            0.025738,            0.026535,             0.91342,             0.10606,             0.15981,            0.061461,            0.088257,            0.017307,            0.034955,            0.010279,           0.0092793,           0.0092793
                  20,            0.068249,            0.024347,            0.024186,             0.49624,             0.18244,             0.13447,            0.051709,            0.088395,            0.017284,            0.036072,             0.00934,             0.00934,             0.00934
                  21,            0.069117,            0.025567,            0.025284,             0.49416,             0.19318,             0.15573,            0.044381,            0.087426,            0.017666,            0.034534,             0.00934,             0.00934,             0.00934
