               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045902,            0.071486,             0.01714,             0.66216,             0.60362,             0.68138,             0.45035,            0.041304,            0.037831,            0.010523,              0.0937,              0.0007,              0.0007
                   1,             0.04512,            0.068234,            0.016085,             0.71049,             0.64121,             0.71199,             0.47777,            0.040493,            0.036944,           0.0090969,            0.086485,           0.0014851,           0.0014851
                   2,            0.045432,            0.061686,            0.016147,             0.74149,             0.65409,             0.75061,             0.48333,            0.040214,            0.036014,           0.0081291,            0.079254,           0.0022545,           0.0022545
                   3,            0.043335,            0.060686,            0.015043,             0.73828,             0.67488,              0.7478,              0.4929,             0.04032,            0.035393,           0.0074117,            0.072008,           0.0030079,           0.0030079
                   4,            0.043751,            0.059287,            0.013725,             0.77318,             0.71954,             0.78508,              0.4979,            0.041203,            0.034924,           0.0067885,            0.064746,           0.0037456,           0.0037456
                   5,            0.045679,            0.062062,            0.013063,             0.79091,             0.68658,             0.78751,             0.49649,            0.041307,            0.034653,           0.0065925,            0.057467,           0.0044673,           0.0044673
                   6,            0.045683,            0.059573,            0.012539,             0.72903,             0.63448,             0.72046,             0.40444,            0.046692,            0.035502,           0.0073564,            0.050173,           0.0051733,           0.0051733
                   7,            0.045276,            0.060468,            0.012836,             0.76094,             0.70177,             0.77678,             0.48301,            0.045705,            0.032419,           0.0057528,            0.042863,           0.0058634,           0.0058634
                   8,            0.047008,            0.055823,            0.011927,             0.79393,             0.69647,             0.76587,             0.47113,            0.044428,            0.033722,           0.0065215,            0.035538,           0.0065377,           0.0065377
                   9,            0.046755,            0.056283,            0.011188,             0.74688,             0.72585,              0.7702,             0.48931,            0.045461,            0.030752,           0.0050559,            0.028196,           0.0071961,           0.0071961
                  10,            0.046439,            0.059266,            0.011943,             0.71674,             0.73237,             0.77899,             0.47633,            0.047857,            0.030281,            0.004758,            0.020839,           0.0078387,           0.0078387
                  11,            0.048144,            0.049763,            0.011037,             0.78961,             0.67146,             0.78752,             0.45844,             0.05168,            0.030413,           0.0047921,            0.013465,           0.0084655,           0.0084655
                  12,            0.050995,            0.055453,            0.010225,              0.7281,             0.76643,             0.80155,             0.48322,            0.045888,            0.030141,           0.0047864,            0.008812,            0.008812,            0.008812
                  13,            0.046583,            0.051728,            0.010309,             0.74355,             0.78448,             0.81521,             0.51651,            0.046538,            0.029752,           0.0048283,            0.008812,            0.008812,            0.008812
                  14,            0.046824,            0.051736,            0.010561,             0.77336,             0.79578,             0.84619,              0.5368,            0.045527,            0.029237,           0.0047034,            0.008713,            0.008713,            0.008713
                  15,            0.045439,            0.049164,           0.0097657,             0.82594,             0.79818,             0.84873,             0.50887,            0.044593,            0.029038,           0.0045561,            0.008614,            0.008614,            0.008614
                  16,            0.045928,            0.057647,            0.010023,             0.85062,             0.78939,             0.86303,             0.54894,            0.041307,            0.028304,           0.0044268,            0.008515,            0.008515,            0.008515
                  17,            0.043831,            0.052452,            0.010088,             0.76239,             0.78742,             0.83196,             0.52126,            0.045313,            0.028811,            0.004258,            0.008416,            0.008416,            0.008416
                  18,            0.046142,            0.049978,            0.010092,             0.78076,             0.80965,             0.85884,             0.54343,            0.041464,            0.028743,           0.0041294,            0.008317,            0.008317,            0.008317
                  19,            0.043221,            0.050073,           0.0089992,             0.78744,             0.79587,             0.86168,             0.54516,            0.040873,            0.028103,           0.0040863,            0.008218,            0.008218,            0.008218
                  20,            0.044728,            0.050847,           0.0088845,             0.83502,             0.77693,             0.85909,             0.55312,            0.041465,            0.027884,           0.0039917,            0.008119,            0.008119,            0.008119
                  21,            0.043916,             0.04883,           0.0086329,             0.84878,             0.78029,             0.86597,             0.55838,            0.040547,            0.027677,           0.0039681,             0.00802,             0.00802,             0.00802
                  22,            0.042767,            0.050966,           0.0096505,             0.84782,             0.80012,             0.87806,             0.55879,            0.039624,            0.027102,           0.0038623,            0.007921,            0.007921,            0.007921
                  23,            0.043256,            0.049031,           0.0083735,             0.81321,             0.83959,             0.88556,             0.52981,            0.040581,            0.027336,           0.0037435,            0.007822,            0.007822,            0.007822
                  24,             0.04279,            0.044721,           0.0094141,              0.8252,             0.82309,             0.88789,             0.57871,            0.039156,            0.026843,           0.0036561,            0.007723,            0.007723,            0.007723
                  25,            0.041894,            0.045753,           0.0079847,             0.83052,             0.83487,             0.88799,             0.58177,            0.038884,            0.026369,           0.0034685,            0.007624,            0.007624,            0.007624
                  26,             0.04105,            0.049641,           0.0081796,             0.85628,              0.8247,             0.88857,             0.58189,            0.040009,             0.02679,           0.0034875,            0.007525,            0.007525,            0.007525
                  27,            0.041953,             0.04253,            0.007932,             0.88433,             0.81484,             0.89417,             0.56697,            0.038498,            0.027033,           0.0034614,            0.007426,            0.007426,            0.007426
                  28,            0.040712,            0.043319,            0.008375,             0.86534,             0.82457,              0.9006,              0.6035,            0.037606,            0.026604,            0.003391,            0.007327,            0.007327,            0.007327
                  29,            0.040395,            0.048518,            0.007589,             0.86947,              0.8116,             0.89674,             0.60859,            0.037248,            0.026782,           0.0033245,            0.007228,            0.007228,            0.007228
                  30,            0.042897,            0.047924,           0.0076829,             0.85793,             0.81927,             0.89098,             0.59938,            0.039334,            0.026538,           0.0032991,            0.007129,            0.007129,            0.007129
                  31,            0.041525,            0.047689,           0.0079591,             0.82784,             0.86459,             0.90007,             0.57931,            0.040066,            0.026356,            0.003279,             0.00703,             0.00703,             0.00703
                  32,            0.040906,            0.041771,           0.0075065,             0.79592,             0.87369,             0.90032,             0.59252,            0.038178,             0.02564,           0.0033164,            0.006931,            0.006931,            0.006931
                  33,            0.039183,            0.042099,           0.0073722,             0.82155,             0.86536,             0.90834,             0.62597,            0.037333,            0.025055,           0.0032811,            0.006832,            0.006832,            0.006832
                  34,             0.04018,            0.045251,           0.0071686,             0.83875,             0.85583,             0.90717,              0.6111,            0.036069,            0.024965,             0.00315,            0.006733,            0.006733,            0.006733
                  35,            0.039466,            0.043052,           0.0072575,             0.87077,             0.82848,              0.8979,             0.59961,             0.03753,            0.025062,           0.0032086,            0.006634,            0.006634,            0.006634
                  36,            0.039295,            0.045665,           0.0075698,             0.85803,             0.86155,             0.91355,             0.62396,            0.034527,            0.024281,            0.003132,            0.006535,            0.006535,            0.006535
                  37,            0.037834,            0.043883,           0.0074629,             0.87945,             0.84985,             0.91388,             0.62485,            0.037064,            0.024487,           0.0031105,            0.006436,            0.006436,            0.006436
                  38,            0.040579,             0.04362,           0.0069419,             0.86765,             0.85988,              0.9189,             0.62181,            0.036014,            0.024059,            0.003075,            0.006337,            0.006337,            0.006337
                  39,            0.039646,            0.047575,           0.0070662,              0.8713,             0.86432,             0.91656,             0.63822,            0.035392,            0.023583,           0.0030299,            0.006238,            0.006238,            0.006238
                  40,             0.03795,             0.04241,            0.006723,             0.86664,             0.86589,             0.92014,             0.65274,            0.033506,            0.023376,           0.0030401,            0.006139,            0.006139,            0.006139
                  41,             0.03723,            0.041852,           0.0075046,             0.89938,             0.85725,             0.92259,             0.65186,            0.033318,             0.02314,           0.0029739,             0.00604,             0.00604,             0.00604
                  42,            0.035266,            0.039617,           0.0076098,             0.87242,             0.85312,             0.91509,             0.64583,            0.034035,            0.023114,           0.0029191,            0.005941,            0.005941,            0.005941
                  43,            0.037284,            0.039702,           0.0068898,             0.87906,             0.85629,             0.92032,             0.64141,            0.033653,            0.022904,           0.0028872,            0.005842,            0.005842,            0.005842
                  44,            0.037643,            0.041212,           0.0063166,             0.89352,             0.85401,             0.91975,             0.65028,            0.032706,            0.022732,           0.0028415,            0.005743,            0.005743,            0.005743
                  45,            0.037716,            0.042617,           0.0062329,             0.88694,             0.86146,             0.92363,             0.65831,             0.03301,            0.023083,           0.0028322,            0.005644,            0.005644,            0.005644
                  46,            0.036245,            0.040871,           0.0074861,             0.88475,             0.87103,             0.92659,             0.65826,            0.032826,            0.022803,           0.0027961,            0.005545,            0.005545,            0.005545
                  47,            0.037043,            0.041508,           0.0073653,             0.87389,             0.88982,             0.93118,             0.67504,            0.031392,            0.022499,           0.0027981,            0.005446,            0.005446,            0.005446
                  48,             0.03699,            0.041398,            0.006778,             0.87644,             0.87726,             0.93002,             0.66752,            0.032434,            0.022515,           0.0028114,            0.005347,            0.005347,            0.005347
                  49,            0.036844,            0.043165,           0.0060293,             0.91067,             0.86416,             0.93426,             0.67857,             0.03192,            0.022382,           0.0027488,            0.005248,            0.005248,            0.005248
                  50,            0.036548,            0.042328,           0.0062784,             0.89792,             0.87843,             0.93357,             0.68168,            0.032301,            0.022663,           0.0026774,            0.005149,            0.005149,            0.005149
                  51,            0.035578,            0.037416,           0.0066664,             0.89306,             0.88598,             0.93632,              0.6809,            0.031433,            0.022489,           0.0026531,             0.00505,             0.00505,             0.00505
                  52,            0.034931,            0.041243,           0.0055016,             0.91214,             0.86238,               0.935,             0.66679,            0.031333,            0.022173,           0.0026318,            0.004951,            0.004951,            0.004951
                  53,            0.037593,            0.040875,           0.0065148,             0.90962,             0.86096,              0.9266,              0.6525,            0.032386,            0.022396,           0.0025846,            0.004852,            0.004852,            0.004852
                  54,            0.037256,            0.037524,           0.0063961,             0.93154,             0.85313,             0.92976,             0.66762,            0.031265,            0.022198,            0.002539,            0.004753,            0.004753,            0.004753
                  55,            0.034977,            0.040964,           0.0059208,              0.9178,             0.86755,             0.93291,             0.67337,            0.031843,            0.022145,           0.0025357,            0.004654,            0.004654,            0.004654
                  56,            0.035389,            0.038662,           0.0064444,             0.92074,             0.86589,             0.92997,             0.65991,             0.03245,            0.022104,           0.0025319,            0.004555,            0.004555,            0.004555
                  57,             0.03554,            0.042173,           0.0060512,             0.90588,             0.87207,             0.93192,             0.68755,            0.030577,            0.021726,           0.0025401,            0.004456,            0.004456,            0.004456
                  58,            0.033728,            0.036545,           0.0059873,             0.93005,             0.86426,             0.93053,             0.68469,            0.030757,            0.021553,           0.0025214,            0.004357,            0.004357,            0.004357
                  59,            0.034295,            0.037459,           0.0053659,             0.92701,             0.87016,             0.93896,             0.69339,            0.029653,            0.021502,           0.0024754,            0.004258,            0.004258,            0.004258
                  60,            0.035285,            0.043968,           0.0063224,              0.9163,             0.87259,             0.93052,             0.68941,            0.029481,            0.021266,           0.0024682,            0.004159,            0.004159,            0.004159
                  61,            0.034179,            0.038105,           0.0057691,             0.90857,             0.89126,             0.93684,             0.69491,            0.029491,            0.021142,           0.0024431,             0.00406,             0.00406,             0.00406
                  62,            0.035686,            0.038647,             0.00651,             0.91523,             0.88791,             0.93313,             0.69977,            0.029538,            0.021004,           0.0024163,            0.003961,            0.003961,            0.003961
                  63,            0.033863,            0.034884,           0.0054617,             0.90959,             0.88797,             0.93494,             0.70195,            0.029231,            0.020802,           0.0023901,            0.003862,            0.003862,            0.003862
                  64,            0.036059,            0.038854,           0.0058532,             0.91982,              0.8883,              0.9417,             0.70243,            0.028834,            0.020814,           0.0023319,            0.003763,            0.003763,            0.003763
                  65,            0.032135,            0.037777,           0.0052399,             0.92615,             0.88334,             0.94047,             0.70442,            0.029278,            0.020741,           0.0022814,            0.003664,            0.003664,            0.003664
                  66,            0.034464,            0.041128,           0.0052612,             0.92791,             0.88494,             0.94236,             0.70295,            0.028275,            0.020437,            0.002279,            0.003565,            0.003565,            0.003565
